Molecules,SMILES
1-Butanol,CCCCO
Ethylene glycol,OCCO
cyclohexane,C1CCCCC1
Diisopropyl ether,CC(C)OC(C)C
1-Hexanol,CCCCCCO
toluene,Cc1ccccc1
DMSO,CS(C)=O
Glycerol,OCC(O)CO
THF,C1CCOC1
2-Pentanone,CCCC(C)=O
1-Decanol,CCCCCCCCCCO
dioxane,C1COCCO1
ethyl acetate,CCOC(C)=O
THF,C1CCOC1
2-Propanol,CC(C)O
Toluene,Cc1ccccc1
Hexane,CCCCCC
TFE,FC(F)=C(F)F
Butyl acetate,CCCCOC(C)=O
Tert-pentanol,CCC(C)(C)O
CCl4,ClC(Cl)(Cl)Cl
Di-n-butyl ether,CCCCOCCCC
Pyridine,c1ccncc1
H2O,O
heptane,CCCCCCC
hexane,CCCCCC
DMF,CN(C)C=O
1-Propanol,CCCO
benzene,c1ccccc1
o-Dimethoxybenzene,COc1ccccc1OC
Triethylamine,CCN(CC)CC
Formamide,NC=O
DMA,CC(=O)N(C)C
Diethyl ether,CCOCC
N-Methylformamide,CNC=O
2-Methylbutane,CCC(C)C
Methyl acetate,COC(C)=O
methylcyclohexane,C[C]1CCCCC1
Methyl formate,COC=O
CHCl3,ClC(Cl)Cl
1-methyl-2-pyrrolidinone,CN1CCCC1=O
Me-THF,CC1CCCO1
Acetonitrile:H2O(1:1),"CC#N, O"
CH2Cl2,ClCCl
2-propanol,CC(C)O
1-octanol,CCCCCCCCO
1-Octanol,CCCCCCCCO
DMSO,CS(C)=O
Cyclohexane,C1CCCCC1
EtOH,CCO
Acetone,CC(C)=O
MeCN,CC#N
MeOH,CO
Bromobenzene,Brc1ccccc1
Toluene,Cc1ccccc1
